date,volume,open,high,low,close,adjclose
2020-04-20,12226200,150.92999267578125,153,150.08999633789062,151.6699981689453,150.6258544921875
2020-04-17,10920000,151.99000549316406,152.3000030517578,149.60000610351562,152.02000427246094,150.97344970703125
2020-04-16,12181700,148.30999755859375,150.67999267578125,146.44000244140625,149.6699981689453,148.63961791992188
2020-04-15,11962300,145.5500030517578,147.91000366210938,143.5399932861328,147.66000366210938,146.64346313476562
2020-04-14,13838000,145.4199981689453,147.4199981689453,144.0500030517578,146.02999877929688,145.02467346191406
2020-04-13,8153200,140,141.49000549316406,137.83999633789062,139.77000427246094,138.8077850341797
2020-04-09,11127200,144.00999450683594,145.4199981689453,140.27999877929688,141.22999572753906,140.25772094726562
2020-04-08,10758200,137.75,144.1300048828125,137.3000030517578,143.25999450683594,142.27374267578125
2020-04-07,11567100,139.86000061035156,142.02999877929688,137.25999450683594,137.47999572753906,136.53353881835938
2020-04-06,14994400,137.00999450683594,140.97000122070312,135.5399932861328,139.75999450683594,138.79783630371094
2020-04-03,10071200,132.3800048828125,134.7899932861328,131.5800018310547,134.1699981689453,133.24632263183594
2020-04-02,11594500,129.1199951171875,134,127.22000122070312,133.14999389648438,132.23333740234375
2020-04-01,12606100,127.69999694824219,130.22999572753906,125.5,128.80999755859375,127.92322540283203
2020-03-31,15746100,134.99000549316406,135.7100067138672,130.0500030517578,131.1300048828125,130.22726440429688
2020-03-30,21754000,128.4600067138672,133.99000549316406,127.5,133.00999450683594,132.0943145751953
2020-03-27,12133200,121.6500015258789,127.62000274658203,120.58000183105469,123.16000366210938,122.31212615966797
2020-03-26,15066800,120.56999969482422,127.0999984741211,120.37999725341797,126.56999969482422,125.69864654541016
2020-03-25,13986100,118.91000366210938,123.95999908447266,116.69999694824219,119.4000015258789,118.57801055908203
2020-03-24,17604800,118.76000213623047,119.6500015258789,113.86000061035156,119.18000030517578,118.35952758789062
2020-03-23,20815200,117,118.55999755859375,109.16000366210938,111.13999938964844,110.3748779296875
2020-03-20,19785100,126.83000183105469,127.44000244140625,118.12999725341797,119.88999938964844,119.06463623046875
2020-03-19,18482300,134.99000549316406,134.99000549316406,126.1500015258789,127.05000305175781,126.17534637451172
2020-03-18,17521100,131.02000427246094,135.6699981689453,128.7100067138672,134.9600067138672,134.03089904785156
2020-03-17,18911800,128.5500030517578,136.77000427246094,127.80999755859375,136.58999633789062,135.649658203125
2020-03-16,18877900,123.56999969482422,133.75999450683594,122.43000030517578,127.12999725341797,126.25479125976562
2020-03-13,20084200,129.32000732421875,134.9199981689453,124.6500015258789,134.2899932861328,133.36549377441406
2020-03-12,21539200,127.30999755859375,133.75999450683594,124.5,125.41000366210938,124.54663848876953
2020-03-11,17763400,138.08999633789062,138.75,131.5,131.8000030517578,130.8926544189453
